source_name,source_portfolio_url,portfolio_company,portfolio_company_website,raw_title_or_note,raw_extraction_basis,triage_status
BK Growth,https://www.bkgrowth.com/portfolio,Pathfinder Brands,https://www.pathfinderbrands.co/,Pathfinder Brands,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,Peace Aging Care Experts,https://www.peaceagingcare.com/,Peace Aging Care Experts,approved page HTML gallery title/link,not_curated_healthcare_services_pending
BK Growth,https://www.bkgrowth.com/portfolio,Peak Propane,https://www.peakpropane.com/,Peak Propane,approved page HTML gallery title/link,curated_seed
BK Growth,https://www.bkgrowth.com/portfolio,Pelvic Health Solutions,https://phsfl.com/,Pelvic Health Solutions,approved page HTML gallery title/link,not_curated_consumer_health
BK Growth,https://www.bkgrowth.com/portfolio,Precision Med,https://www.precisionmed.com/,Precision Med,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,Quality Standard,https://qualitystandard.com/,quality-standard-logo_sm.png,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,RDI,,RDI,approved page HTML gallery title without link,needs_source_clarification
BK Growth,https://www.bkgrowth.com/portfolio,ReVive,https://revive.md/,ReVive,approved page HTML gallery title/link,covered_by_ttcer_seed
BK Growth,https://www.bkgrowth.com/portfolio,Route Two Partners,https://www.routetwopartners.com/,Route Two Partners,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,SAMS,https://njbsoft.com/,SAMS,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,Scribbles Software,https://www.scribsoft.com/,Scribbles Software,approved page HTML gallery title/link,curated_seed
BK Growth,https://www.bkgrowth.com/portfolio,Sector 7 Energy,https://www.sector7energy.com/,Sector 7 Energy,approved page HTML gallery title/link,curated_seed
BK Growth,https://www.bkgrowth.com/portfolio,Smash My Trash,,Smash My Trash,approved page HTML gallery title without link,needs_source_clarification
BK Growth,https://www.bkgrowth.com/portfolio,SoftTrip,https://www.softrip.com/,SoftTrip,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,Spanish Schoolhouse,https://spanishschoolhouse.com/,Spanish Schoolhouse,approved page HTML gallery title/link,not_curated_education_consumer
BK Growth,https://www.bkgrowth.com/portfolio,StaffScheduleCare,https://www.staffschedulecare.com/,StaffScheduleCare,approved page HTML gallery title/link,curated_seed
BK Growth,https://www.bkgrowth.com/portfolio,Stage2Data,https://stage2data.com/,Stage2Data,approved page HTML gallery title/link,curated_seed
BK Growth,https://www.bkgrowth.com/portfolio,STAT,http://www.statanalysis.com/,STAT,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,Tank Track,https://tank-track.com/,Tank Track,approved page HTML gallery title/link,curated_seed
BK Growth,https://www.bkgrowth.com/portfolio,TaskRay,https://taskray.com/,TaskRay,approved page HTML gallery title/link,covered_by_ttcer_seed
BK Growth,https://www.bkgrowth.com/portfolio,Team Management Systems,https://teamservice.com/,Team Management Systems,approved page HTML gallery title/link,curated_seed
BK Growth,https://www.bkgrowth.com/portfolio,Triyam,https://www.triyam.com/,Tiryam,approved page HTML gallery title/link,curated_seed
BK Growth,https://www.bkgrowth.com/portfolio,TopQuadrant,https://www.topquadrant.com/,TopQuadrant,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,Tortorella Group,https://www.tortorella.com/,Tortorella Group,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,Utility Management Solutions,https://utilitymanage.com/,Utility Management Solutions,approved page HTML gallery title/link,curated_seed
BK Growth,https://www.bkgrowth.com/portfolio,Voice Friend,http://www.voicefriend.net/,Voice Friend,approved page HTML gallery title/link,needs_triage
BK Growth,https://www.bkgrowth.com/portfolio,Wu Consulting Group,https://wuconsulting.com/,Wu Consulting Group,approved page HTML gallery title/link,needs_triage
